dataset	motif_length	status	elapsed_seconds	user_seconds	system_seconds	max_rss_kb	exit_code	cpu_model	streme_version
DATASET_DNA_1	4	FAILED_RC_1	Command exited with non-zero status 1				1	AMD EPYC 7763 64-Core Processor	5.3.0
DATASET_DNA_1	8	FAILED_RC_1	Command exited with non-zero status 1				1	AMD EPYC 7763 64-Core Processor	5.3.0
DATASET_DNA_1	16	FAILED_RC_1	Command exited with non-zero status 1				1	AMD EPYC 7763 64-Core Processor	5.3.0
DATASET_DNA_2	4	FAILED_RC_1	Command exited with non-zero status 1				1	AMD EPYC 7763 64-Core Processor	5.3.0
DATASET_DNA_2	8	FAILED_RC_1	Command exited with non-zero status 1				1	AMD EPYC 9V74 80-Core Processor	5.3.0
DATASET_DNA_2	16	FAILED_RC_1	Command exited with non-zero status 1				1	AMD EPYC 7763 64-Core Processor	5.3.0
DATASET_DNA_3	4	FAILED_RC_1	Command exited with non-zero status 1				1	AMD EPYC 7763 64-Core Processor	5.3.0
DATASET_DNA_3	8	FAILED_RC_1	Command exited with non-zero status 1				1	AMD EPYC 7763 64-Core Processor	5.3.0
DATASET_DNA_3	16	FAILED_RC_1	Command exited with non-zero status 1				1	AMD EPYC 7763 64-Core Processor	5.3.0
